v1_brain	v2_blood	v3_connective	v4_reproductive	v5_muscular	v6_alimentary	v7_liver	v8_lung	v9_urinary	v10_endo/exo-crine
11.8	23.5	9.6	56.1	-1	30.2	31.7	14.7	-1	19.4
1.7	2.6	-1	-1	-1	-1	10.6	-1	-1	-1
74.3	117.3	93.2	146.4	124.9	95.6	21.1	141.7	57.6	112.6
21.1	28.7	19.3	20.5	23.4	5	42.2	19.6	28.8	3.9
23.6	-1	-1	6.8	-1	5	-1	4.9	-1	-1
5.9	5.2	-1	-1	-1	5	-1	9.8	-1	-1
30.4	62.6	51.4	42.4	39	55.3	52.8	29.3	19.2	31.1
27.9	7.8	19.3	9.6	-1	45.3	21.1	4.9	-1	23.3
28.7	5.2	22.5	26	15.6	55.3	10.6	14.7	-1	19.4
-1	-1	-1	4.1	-1	-1	-1	-1	-1	-1
65.9	54.8	48.2	101.2	-1	65.4	52.8	53.8	38.4	85.4
27.9	39.1	45	64.3	39	50.3	10.6	63.5	-1	19.4
4.2	5.2	202.4	9.6	-1	5	-1	24.4	-1	11.6
135.1	106.9	118.9	94.4	39	60.4	-1	63.5	67.2	54.4
44.7	106.9	28.9	75.2	46.8	35.2	63.3	34.2	96	46.6
-1	-1	-1	-1	-1	-1	31.7	-1	67.2	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	15.5
3.4	-1	-1	-1	-1	-1	-1	-1	-1	-1
26.2	127.8	51.4	30.1	46.8	10.1	10.6	39.1	28.8	50.5
262.6	-1	6.4	20.5	39	10.1	21.1	19.6	192	42.7
31.2	-1	6.4	4.1	7.8	-1	-1	-1	-1	7.8
61.6	10.4	19.3	34.2	7.8	15.1	-1	24.4	9.6	912.5
1.7	20.9	9.6	13.7	-1	10.1	-1	9.8	28.8	7.8
20.3	5.2	9.6	21.9	-1	15.1	10.6	9.8	38.4	3.9
8.4	-1	6.4	16.4	31.2	-1	-1	19.6	48	3.9
47.3	172.1	22.5	6.8	7.8	-1	-1	4.9	9.6	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
22	5.2	12.9	21.9	15.6	-1	-1	9.8	28.8	27.2
34.6	20.9	35.3	21.9	85.9	45.3	31.7	29.3	192	50.5
62.5	93.9	388.7	36.9	140.5	30.2	-1	92.9	57.6	27.2
2.5	-1	3.2	4.1	-1	-1	-1	-1	9.6	-1
1.7	-1	-1	1.4	-1	55.3	-1	48.9	307.3	-1
5.1	2.6	6.4	26	23.4	15.1	-1	14.7	19.2	3.9
4.2	-1	-1	2.7	-1	-1	10.6	4.9	-1	23.3
38	36.5	22.5	117.7	7.8	125.8	31.7	24.4	153.6	132
80.2	88.7	73.9	50.6	78.1	30.2	21.1	78.2	144	97.1
65.9	5.2	51.4	105.3	54.7	216.3	10.6	244.4	48	159.2
5.1	-1	19.3	13.7	23.4	-1	52.8	4.9	9.6	11.6
-1	-1	3.2	-1	-1	-1	-1	-1	19.2	-1
16	36.5	48.2	117.7	46.8	75.5	84.4	97.8	19.2	73.8
23.6	28.7	32.1	30.1	15.6	-1	52.8	19.6	19.2	15.5
-1	-1	-1	15	-1	-1	-1	-1	-1	15.5
3.4	-1	-1	-1	-1	-1	-1	-1	9.6	-1
