NCBI_UnigeneID	v1_brain	v2_blood	v3_connective	v4_reproductive	v5_muscular	v6_alimentary	v7_liver	v8_lung	v9_urinary	v10_endo/exo-crine
Hs.100043	32.9	33.9	6.4	6.8	54.7	45.3	10.6	29.3	28.8	3.9
Hs.100057	52.3	26.1	19.3	30.1	7.8	45.3	10.6	14.7	9.6	62.1
Hs.100058	42.2	7.8	-1	5.5	-1	-1	-1	-1	-1	27.2
Hs.100072	9.3	-1	-1	1.4	-1	5	-1	4.9	-1	-1
Hs.100161	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.100217	44.7	185.1	22.5	13.7	15.6	-1	-1	44	19.2	11.6
Hs.100235	2.5	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.100261	2.5	2.6	6.4	2.7	15.6	5	10.6	-1	19.2	15.5
Hs.100299	24.5	33.9	19.3	82.1	-1	10.1	-1	9.8	19.2	38.8
Hs.100322	0.8	-1	6.4	-1	-1	-1	-1	-1	-1	128.1
Hs.1004	11.8	44.3	9.6	24.6	7.8	30.2	10.6	24.4	9.6	19.4
Hs.10041	3.4	7.8	28.9	2.7	156.2	-1	-1	-1	-1	-1
Hs.100426	18.6	44.3	19.3	28.7	7.8	15.1	10.6	14.7	9.6	7.8
Hs.100431	-1	26.1	57.8	4.1	31.2	30.2	-1	-1	9.6	69.9
Hs.100516	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.10056	40.5	10.4	45	39.7	39	115.7	10.6	9.8	48	23.3
Hs.100686	0.8	-1	3.2	4.1	-1	10.1	-1	88	9.6	23.3
Hs.100691	1.7	-1	-1	5.5	7.8	-1	-1	4.9	9.6	15.5
Hs.100743	11.8	-1	3.2	6.8	-1	-1	-1	14.7	48	3.9
Hs.10082	11.8	23.5	9.6	56.1	-1	30.2	31.7	14.7	-1	19.4
Hs.100866	1.7	2.6	-1	-1	-1	-1	10.6	-1	-1	-1
Hs.100874	74.3	117.3	93.2	146.4	124.9	95.6	21.1	141.7	57.6	112.6
Hs.100878	21.1	28.7	19.3	20.5	23.4	5	42.2	19.6	28.8	3.9
Hs.100890	23.6	-1	-1	6.8	-1	5	-1	4.9	-1	-1
Hs.100912	5.9	5.2	-1	-1	-1	5	-1	9.8	-1	-1
Hs.100914	30.4	62.6	51.4	42.4	39	55.3	52.8	29.3	19.2	31.1
Hs.100915	27.9	7.8	19.3	9.6	-1	45.3	21.1	4.9	-1	23.3
Hs.100921	28.7	5.2	22.5	26	15.6	55.3	10.6	14.7	-1	19.4
Hs.100938	-1	-1	-1	4.1	-1	-1	-1	-1	-1	-1
Hs.10094	65.9	54.8	48.2	101.2	-1	65.4	52.8	53.8	38.4	85.4
Hs.10095	27.9	39.1	45	64.3	39	50.3	10.6	63.5	-1	19.4
Hs.101007	4.2	5.2	202.4	9.6	-1	5	-1	24.4	-1	11.6
Hs.10101	135.1	106.9	118.9	94.4	39	60.4	-1	63.5	67.2	54.4
Hs.101014	44.7	106.9	28.9	75.2	46.8	35.2	63.3	34.2	96	46.6
Hs.1011	-1	-1	-1	-1	-1	-1	31.7	-1	67.2	-1
Hs.101120	-1	-1	-1	-1	-1	-1	-1	-1	-1	15.5
Hs.101139	3.4	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.101150	26.2	127.8	51.4	30.1	46.8	10.1	10.6	39.1	28.8	50.5
Hs.101174	262.6	-1	6.4	20.5	39	10.1	21.1	19.6	192	42.7
Hs.1012	8.4	13	12.9	8.2	-1	5	358.9	97.8	38.4	31.1
Hs.101248	9.3	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.101302	40.5	52.2	144.6	35.6	85.9	65.4	31.7	68.4	28.8	97.1
Hs.101307	54.9	13	22.5	30.1	46.8	15.1	-1	9.8	28.8	3.9
Hs.101337	2.5	2.6	9.6	8.2	101.5	-1	10.6	-1	-1	7.8
Hs.10136	19.4	15.6	19.3	15	-1	15.1	21.1	14.7	144	42.7
Hs.101364	95.4	49.5	73.9	64.3	109.3	50.3	42.2	73.3	105.6	54.4
Hs.101433	17.7	-1	-1	-1	-1	-1	-1	-1	-1	15.5
Hs.101439	17.7	5.2	-1	6.8	15.6	5	21.1	9.8	-1	-1
Hs.101480	59.1	67.8	25.7	42.4	-1	40.2	21.1	39.1	48	42.7
Hs.101674	6.8	-1	-1	2.7	7.8	-1	-1	-1	96	-1
